index,Sku,Catalog,Category,Weight,TP,MRP Old,Final MRP Old,Ajio MRP,Amazon MRP,Amazon FBA MRP,Flipkart MRP,Limeroad MRP,Myntra MRP,Paytm MRP,Snapdeal MRP
893,L,Mix,Kurta,0.3,395,1895,1895,1895,1895,1895,1895,1895,1895,1895,1895
894,XL,Mix,Kurta,0.3,395,1895,1895,1895,1895,1895,1895,1895,1895,1895,1895
895,2XL,Mix,Kurta,0.3,395,1895,1895,1895,1895,1895,1895,1895,1895,1895,1895
896,3XL,Mix,Kurta,0.3,395,1895,1895,1895,1895,1895,1895,1895,1895,1895,1895
897,S,Mix,Kurta,0.3,395,1895,1895,1895,1895,1895,1895,1895,1895,1895,1895
898,M,Mix,Kurta,0.3,395,1895,1895,1895,1895,1895,1895,1895,1895,1895,1895
899,L,Mix,Kurta,0.3,395,1895,1895,1895,1895,1895,1895,1895,1895,1895,1895
900,XL,Mix,Kurta,0.3,395,1895,1895,1895,1895,1895,1895,1895,1895,1895,1895
901,2XL,Mix,Kurta,0.3,395,1895,1895,1895,1895,1895,1895,1895,1895,1895,1895
902,3XL,Mix,Kurta,0.3,395,1895,1895,1895,1895,1895,1895,1895,1895,1895,1895
903,S,Mix,Kurta,0.3,385,1895,1895,1895,1895,1895,1895,1895,1895,1895,1895
904,M,Mix,Kurta,0.3,385,1895,1895,1895,1895,1895,1895,1895,1895,1895,1895
905,L,Mix,Kurta,0.3,385,1895,1895,1895,1895,1895,1895,1895,1895,1895,1895
906,XL,Mix,Kurta,0.3,385,1895,1895,1895,1895,1895,1895,1895,1895,1895,1895
907,2XL,Mix,Kurta,0.3,385,1895,1895,1895,1895,1895,1895,1895,1895,1895,1895
908,3XL,Mix,Kurta,0.3,385,1895,1895,1895,1895,1895,1895,1895,1895,1895,1895
909,S,Mix,Kurta,0.3,385,1895,1895,1895,1895,1895,1895,1895,1895,1895,1895
910,M,Mix,Kurta,0.3,385,1895,1895,1895,1895,1895,1895,1895,1895,1895,1895
911,L,Mix,Kurta,0.3,385,1895,1895,1895,1895,1895,1895,1895,1895,1895,1895
912,XL,Mix,Kurta,0.3,385,1895,1895,1895,1895,1895,1895,1895,1895,1895,1895
913,2XL,Mix,Kurta,0.3,385,1895,1895,1895,1895,1895,1895,1895,1895,1895,1895
914,3XL,Mix,Kurta,0.3,385,1895,1895,1895,1895,1895,1895,1895,1895,1895,1895
915,S,Mix,Kurta,0.3,220,1395,1395,1395,1395,1395,1395,1395,1395,1395,1395
916,M,Mix,Kurta,0.3,220,1395,1395,1395,1395,1395,1395,1395,1395,1395,1395
