index,Stock,Category,Size,Color
5424,39.0,TUNIC,XL,Green
5425,2.0,TUNIC,XS,Green
5426,22.0,TUNIC,XXL,Green
5427,22.0,TUNIC,XXXL,Green
5428,0.0,TUNIC,L,Navy Blue
5429,3.0,TUNIC,M,Navy Blue
5430,3.0,TUNIC,S,Navy Blue
5431,17.0,TUNIC,XL,Navy Blue
5432,3.0,TUNIC,XS,Navy Blue
5433,12.0,TUNIC,XXL,Navy Blue
5434,15.0,TUNIC,XXXL,Navy Blue
5435,38.0,TUNIC,L,Maroon
5436,51.0,TUNIC,M,Maroon
5437,144.0,TUNIC,S,Maroon
5438,38.0,TUNIC,XL,Maroon
5439,105.0,TUNIC,XS,Maroon
5440,11.0,TUNIC,XXL,Maroon
5441,6.0,TUNIC,XXXL,Maroon
5442,9.0,TUNIC,L,Maroon
5443,7.0,TUNIC,M,Maroon
5444,6.0,TUNIC,S,Maroon
5445,3.0,TUNIC,XL,Maroon
5446,11.0,TUNIC,XS,Maroon
5447,6.0,TUNIC,XXL,Maroon
5448,12.0,TUNIC,XXXL,Maroon
5449,1.0,KURTA,L,Grey
5450,2.0,KURTA,M,Grey
5451,2.0,KURTA,S,Grey
5452,1.0,KURTA,XL,Grey
5453,2.0,KURTA,XXL,Grey
5454,1.0,KURTA,L,Cream
5455,7.0,KURTA,M,Cream
5456,6.0,KURTA,S,Cream
5457,4.0,KURTA,XL,Cream
5458,6.0,KURTA,XXL,Cream
5459,2.0,KURTA,L,Yellow
5460,5.0,KURTA,M,Yellow
5461,6.0,KURTA,S,Yellow
5462,3.0,KURTA,XL,Yellow
5463,2.0,KURTA,XXL,Yellow
5464,40.0,KURTA,L,Mauve
5465,81.0,KURTA,M,Mauve
5466,18.0,KURTA,S,Mauve
5467,69.0,KURTA,XL,Mauve
5468,0.0,KURTA,XS,Mauve
5469,81.0,KURTA,XXL,Mauve
5470,2.0,KURTA,L,White
5471,3.0,KURTA,M,White
5472,38.0,KURTA,S,White
5473,6.0,KURTA,XL,White
5474,16.0,KURTA,XXL,White
5475,12.0,KURTA,L,Green
5476,26.0,KURTA,M,Green
5477,20.0,KURTA,S,Green
5478,22.0,KURTA,XL,Green
5479,0.0,KURTA,XS,Green
5480,32.0,KURTA,XXL,Green
5481,0.0,KURTA,XXXL,Green
5482,111.0,KURTA,L,Orange
5483,129.0,KURTA,M,Orange
5484,123.0,KURTA,S,Orange
5485,80.0,KURTA,XL,Orange
5486,43.0,KURTA,XS,Orange
5487,88.0,KURTA,XXL,Orange
5488,9.0,KURTA,XXXL,Orange
5489,29.0,KURTA,L,Light Green
5490,36.0,KURTA,M,Light Green
5491,57.0,KURTA,S,Light Green
5492,29.0,KURTA,XL,Light Green
5493,66.0,KURTA,XS,Light Green
5494,51.0,KURTA,XXL,Light Green
5495,9.0,KURTA,XXXL,Light Green
5496,3.0,KURTA,L,Green
5497,5.0,KURTA,M,Green
5498,14.0,KURTA,S,Green
5499,6.0,KURTA,XL,Green
5500,4.0,KURTA,XS,Green
